Yes, there is	107	0
What does that mean?	29	1
It's been good	82	0
Is that so?	69	0
Yes, it has	83	0
Of course I will!	113	0
What do you want?	126	0
Terrible	22	1
I love you	117	0
Absolutely not	39	0
That would be nice	52	0
What did he say?	43	0
Bullshit	26	0
Yes, we are	46	0
Yes, I can	160	0
I'm so happy for you!	123	0
A little bit	171	0
Me either	3	0
So am I	66	0
Ah, yes	59	0
That's correct	33	0
Tomorrow	172	0
I didn't know that	9	0
Probably not	115	0
I'm glad	104	0
Don't be silly	49	0
Sure, I'd love to!	7	0
Agree!	24	0
I'm really sorry	21	0
How do you do?	173	0
It's no big deal	49	0
I can see why	15	0
Thanks for the recommendation!	63	0
No, that's OK	149	0
I'm serious	137	0
Thank you, doctor	4	1
Calm down	26	0
Yeah, why not?	18	0
Could be	32	0
Where to?	126	0
I might just do that	146	0
That sounds lovely	20	0
Yes, actually	0	0
I'm good, thanks for asking	62	0
Ok, I understand	31	0
Thank you for understanding	128	0
Oh boy	59	1
Gotcha	72	0
Oh, geez	59	0
Yeah, I'm sure	71	0
Ofc	72	1
I'm a teacher	174	0
That sounds rough	94	0
That's the one	33	0
Yeah, it's great	175	0
That is sad	80	0
Are you married?	140	0
Yes, you can	160	0
That's a long time	176	0
I doubt it	32	0
Good evening	84	0
I bet it is	36	0
Oh, thank you so much!	48	0
Ah ok	59	0
Do you have any kids?	140	1
Mrs	79	0
That sounds scary	94	0
That's it?	56	0
Later	172	0
Thanks, guys	4	1
Speaking	26	0
Good afternoon	84	0
Sounds fun!	35	0
Any time	128	0
I thought so	32	0
Ok. Anything else?	85	0
Hah!	34	0
I didn't	110	0
Yes, ma'am	107	1
Is that all?	177	0
What do u mean?	29	0
No, I'm fine	149	0
Not exactly	39	0
I love to cook	167	0
You think?	69	0
All right, thank you	23	0
Yes, I'm positive	0	0
Hey there!	41	0
Excuse me	26	1
Thanks, I really appreciate it	68	0
You're the best!	44	0
So, how have you been?	139	0
That's not good enough!	108	0
That's pretty neat	25	0
That's a lot of money	178	0
That's perfect!	2	0
You can say that again	24	0
Shoot	26	0
Do you like it?	179	0
Wow, that sounds amazing!	20	0
Listen	26	1
Ok, good	1	0
I'll have to check it out	98	0
Next week	176	0
Please do	57	0
It shows	132	0
That sounds incredible!	20	0
Yesterday	172	0
I'll think about it	146	0
Ok see you	133	0
Yes, indeed	0	0
What's wrong with it?	85	1
Too bad	22	0
You can't be serious	142	1
Well, thank you	4	0
Xx	180	1
That's so nice!	2	0
That is bad	30	0
It's not that hard	181	0
Oh, absolutely!	48	0
Why? What's wrong?	85	0
Phew!	34	0
Good point	55	0
They do!	112	0
No, you don't have to	90	0
That's a bummer	80	0
You are so lucky!	123	0
Dr	26	0
That works for me	182	0
